id;actual;declared;union;intersection;undeclared;unused
cedihplmdadkgmhdlblolekfbpghnppa.crx;1;2;2;1;0;1
ceifkijcgaeoplocgjkgbekfhledgink.crx;0;0;0;0;0;0
ceimgagkkofjoalgojpkdcmhmbljbbaa.crx;2;6;6;2;0;4
ceopoaldcnmhechacafgagdkklcogkgd.crx;5;12;13;4;1;8
cepmakjlanepojocakadfpohnhhalfol.crx;0;2;2;0;0;2
cfhdojbkjhnklbpkdaibdccddilifddb.crx;0;9;9;0;0;9
cfidkbgamfhdgmedldkagjopnbobdmdn.crx;1;7;7;1;0;6
cfnpidifppmenkapgihekkeednfoenal.crx;0;4;4;0;0;4
cgakmbkklpmijhckpolanjijghgfpeoa.crx;0;2;2;0;0;2
cgbhdenfmgbagncdmgbholejjpmmiank.crx;2;8;8;2;0;6
cgdjpilhipecahhcilnafpblkieebhea.crx;1;4;4;1;0;3
cgjnhhjpfcdhbhlcmmjppicjmgfkppok.crx;2;4;5;1;1;3
cgmnfnmlficgeijcalkgnnkigkefkbhd.crx;1;3;3;1;0;2
chgpmaaockmdehmidghebcjafhihlgha.crx;1;2;3;0;1;2
chhjbpecpncaggjpdakmflnfcopglcmi.crx;2;6;7;1;1;5
chklaanhfefbnpoihckbnefhakgolnmc.crx;1;3;3;1;0;2
chlffgpmiacpedhhbkiomidkjlcfhogd.crx;4;6;6;4;0;2
chphlpgkkbolifaimnlloiipkdnihall.crx;0;5;5;0;0;5
cidlcjdalomndpeagkjpnefhljffbnlo.crx;2;3;3;2;0;1
cimpffimgeipdhnhjohpbehjkcdpjolg.crx;0;5;5;0;0;5
cjbjepchlgclmpinlbbeinajphohgfod.crx;0;6;6;0;0;6
cjpalhdlnbpafiamejdnhcphjbkeiagm.crx;5;9;9;5;0;4
ckcbfnpodigdcbjjmhmolhkhlfbepnca.crx;0;0;0;0;0;0
ckiahbcmlmkpfiijecbpflfahoimklke.crx;5;9;9;5;0;4
ckjefchnfjhjfedoccjbhjpbncimppeg.crx;0;1;1;0;0;1
cknebhggccemgcnbidipinkifmmegdel.crx;2;5;5;2;0;3
clgckgfbhciacomhlchmgdnplmdiadbj.crx;3;9;9;3;0;6
clgenfnodoocmhnlnpknojdbjjnmecff.crx;0;0;0;0;0;0
clikkblliffbbkffahjehcdeknmedelg.crx;1;1;1;1;0;0
clloobkgbdighillbfomkhjhgeempchd.crx;0;1;1;0;0;1
cmeakgjggjdlcpncigglobpjbkabhmjl.crx;4;8;8;4;0;4
cmendinpapjjojakimjlmkkkcmnojefg.crx;0;5;5;0;0;5
cmhicdplfejcchpmimlnohfadpimciaa.crx;0;1;1;0;0;1
cmkdbmfndkfgebldhnkbfhlneefdaaip.crx;0;5;5;0;0;5
cmllgdnjnkbapbchnebiedipojhmnjej.crx;6;9;9;6;0;3
cnaibnehbbinoohhjafknihmlopdhhip.crx;0;3;3;0;0;3
cnbhdbbdefaakpmjbpibaadnhafincnd.crx;1;7;7;1;0;6
cnpniohnfphhjihaiiggeabnkjhpaldj.crx;1;2;2;1;0;1
coahpcpgfnnaddeelpphpifmgfobflog.crx;2;6;6;2;0;4
cocfojppfigjeefejbpfmedgjbpchcng.crx;3;10;10;3;0;7
cohgcponedmbhgbbdinajeoapmoaifdj.crx;0;0;0;0;0;0
cpbghpalffgmgocmnigfhalghmaemffo.crx;1;5;5;1;0;4
cplklnmnlbnpmjogncfgfijoopmnlemp.crx;10;15;15;10;0;5
cppjkneekbjaeellbfkmgnhonkkjfpdn.crx;3;4;5;2;1;2
dafalpmmoljglecaoelijmbkhpdoobmm.crx;3;4;4;3;0;1
dagcmkpagjlhakfdhnbomgmjdpkdklff.crx;0;3;3;0;0;3
dajedkncpodkggklbegccjpmnglmnflm.crx;2;4;4;2;0;2
daocgoilgdmkpilllpkjbaankampnbmj.crx;1;6;6;1;0;5
daoidaoebhfcgccdpgjjcbdginkofmfe.crx;2;7;7;2;0;5
dapjbgnjinbpoindlpdmhochffioedbn.crx;1;2;2;1;0;1
dapoijobnfbbkflnhnjlifonpegdcaip.crx;2;5;5;2;0;3
dbaonaocldpohelilahfhnkmjankmbcc.crx;3;14;14;3;0;11
dbbkgilokaohnhheanpibgklmhmknhmm.crx;0;11;11;0;0;11
dbepggeogbaibhgnhhndojpepiihcmeb.crx;3;9;9;3;0;6
dbfipcjecamggjfabeaclacjoohfjhhn.crx;1;7;7;1;0;6
dbfmnekepjoapopniengjbcpnbljalfg.crx;6;20;20;6;0;14
dciflieigdmogpmamcgbigingaodhnil.crx;0;4;4;0;0;4
